Which odd won,Lowest 2 values
2.87,"2.4, 2.87"
2.6,"2.6, 2.75"
6.5,"1.22, 6.5"
19,"1.14, 8"
1.36,"1.36, 5"
2.3,"2.3, 3.2"
2.37,"2.37, 2.87"
2.1,"2.1, 3.4"
2.45,"2.45, 2.8"
2.2,"2.2, 3.2"
1.95,"1.95, 3.6"
1.7,"1.7, 4"
5.75,"1.6, 4"
6,"1.25, 6"
2.45,"2.45, 3"
3.9,"1.57, 3.9"
1.36,"1.36, 4.75"
3.25,"2.37, 3.1"
3.5,"2.45, 2.8"
4.75,"1.7, 4"
1.75,"1.75, 3.75"
2.45,"2.45, 2.9"
3.2,"2.7, 2.7"
3.4,"2.62, 2.7"
3.6,"2.05, 3.5"
6.5,"1.45, 4.75"
3,"2.4, 3"
1.45,"1.45, 4.75"
1.14,"1.14, 8"
1.7,"1.7, 4.2"
1.44,"1.44, 4.75"
3.3,"2.2, 3.3"
1.28,"1.28, 6"
3.3,"2.15, 3.3"
3.4,"2.05, 3.4"
2.25,"2.25, 3.2"
1.61,"1.61, 4"
1.28,"1.28, 5.75"
4,"1.57, 4"
3.5,"1.95, 3.5"
2.4,"2.4, 3"
3.5,"2.37, 2.87"
1.3,"1.3, 5.25"
3.6,"1.95, 3.6"
3.5,"1.85, 3.5"
1.33,"1.33, 5.25"
1.36,"1.36, 5.25"
1.6,"1.6, 4.2"
1.95,"1.95, 3.75"
4.75,"1.75, 3.6"
2.3,"2.3, 3.2"
3.2,"2.45, 3"
1.4,"1.4, 4.75"
1.2,"1.2, 7"
3.6,"1.95, 3.6"
1.5,"1.5, 4.33"
1.36,"1.36, 5"
2.37,"2.37, 3"
3.4,"2.1, 3.4"
2.25,"2.25, 3.3"
1.14,"1.14, 8"
1.61,"1.61, 4"
1.25,"1.25, 5.75"
1.2,"1.2, 7"
1.45,"1.45, 4.5"
3.6,"2, 3.6"
1.66,"1.66, 4.1"
2.3,"2.3, 3.2"
2.25,"2.25, 3.3"
1.14,"1.14, 8.5"
3.5,"2.25, 3.1"
3.3,"2.15, 3.3"
2.1,"2.1, 3.3"
6.5,"1.22, 6.5"
1.12,"1.12, 9"
1.83,"1.83, 3.8"
1.18,"1.18, 7.5"
4.2,"1.5, 4.2"
4.75,"1.53, 4.75"
1.18,"1.18, 7.5"
1.4,"1.4, 4.75"
1.72,"1.72, 3.8"
4.2,"1.8, 3.9"
1.65,"1.65, 3.8"
1.9,"1.9, 3.4"
4.75,"1.44, 4.75"
1.65,"1.65, 3.75"
3.5,"2, 3.5"
2.1,"2.1, 3.4"
8,"1.33, 5.5"
4.5,"1.4, 4.5"
1.14,"1.14, 8"
1.36,"1.36, 5"
1.5,"1.5, 4.75"
1.61,"1.61, 4.2"
2.3,"2.3, 3.1"
3,"2.4, 3"
2.62,"2.62, 2.75"
2.05,"2.05, 3.5"
3.5,"2.25, 3.1"
6,"1.53, 4.33"
2.05,"2.05, 3.4"
1.28,"1.28, 5.5"
3.3,"2.05, 3.3"
1.65,"1.65, 4"
3.6,"2, 3.6"
3.75,"2, 3.5"
2.25,"2.25, 3.2"
3.5,"2.4, 2.87"
1.3,"1.3, 5.5"
5,"1.61, 4.2"
3.75,"1.72, 3.75"
2.3,"2.3, 3"
1.8,"1.8, 3.7"
3.75,"2, 3.5"
2.62,"2.62, 2.75"
2.6,"2.6, 2.8"
3.75,"2, 3.5"
1.85,"1.85, 3.8"
6.5,"1.25, 6.5"
4.75,"1.36, 4.75"
1.53,"1.53, 4.2"
3.25,"2.5, 2.9"
1.61,"1.61, 4.2"
3.25,"2.2, 3.25"
2.5,"2.5, 2.87"
1.55,"1.55, 4.2"
4,"1.61, 4"
1.1,"1.1, 9.5"
3.25,"2.15, 3.25"
5.5,"1.6, 4"
3.8,"1.8, 3.8"
1.25,"1.25, 6.5"
2.2,"2.2, 3.2"
4,"1.6, 4"
3.1,"2.55, 3"
2.25,"2.25, 3"
2.05,"2.05, 3.3"
1.16,"1.16, 8"
1.28,"1.28, 5.25"
